iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,2.5991106033325195,-315.33226616030424,96.75636351621475,-31.878493175965076,-503.49926666827315,9.375,0.8100004173788674,0.1,0.14783453941345215,1.2938425540924072,0.063645765,0.13828877,-315.33226616030424,-0.05665280242777284,-4.161896846910047,9.375,5654,1.0096747875213623,0.9992108349241067,0.1404568799020533,-511.23703339163274,0.0
1,2.730240821838379,-317.6197384637057,93.6181836999012,-60.8155347739244,-503.66447018078327,8.333333333333334,0.9717698900574003,0.1,0.08378791809082031,0.42197322845458984,0.05009313,0.102220215,-315.5610133906444,-0.05543648067807843,-4.193553367323347,8.333333333333334,5856,0.5645358562469482,0.12879855184355612,0.10368855882389338,-502.5526612763849,0.0
2,2.7252659797668457,-313.78077470978576,104.38642314415796,61.88850382397713,-508.374679780276,5.208333333333333,0.973653265807851,0.1,0.041518211364746094,1.4620649814605713,0.05865781,0.11571731,-315.38298952255855,-0.05490437127256211,-4.143216025981141,5.208333333333333,5910,0.6470341682434082,0.11425630551495229,0.0892063663626569,-475.03549288545634,0.0
3,2.6587605476379395,-320.0747548878573,94.99382499176538,-11.584420686886112,-473.190443780898,7.291666666666667,0.9987541660615777,0.1,0.07973718643188477,0.7911770343780518,0.05185598,0.10469314,-315.8521660590884,-0.056097121240180764,-4.225208798407461,7.291666666666667,5835,0.6633408069610596,0.0807965628425791,0.06712887220928528,-472.35700858884854,0.0
4,2.6569130420684814,-322.29426933572375,93.58243602429584,70.16126867488549,-559.7809587047021,3.125,1.0313113659270496,0.1,0.0877389907836914,0.7549142837524414,0.050751455,0.10213754,-316.49637638675193,-0.05570366626960411,-4.254470293185295,3.125,5869,0.41251111030578613,0.06887277829747428,0.0658883933177866,-448.1707799081787,6.25
5,2.4491868019104004,-309.51504344811286,92.56649458846444,19.04339409769939,-503.2494951452093,5.208333333333333,1.03698445672421,0.1,0.07512426376342773,0.38597989082336426,0.051151354,0.09784164,-315.798243092888,-0.05574333582258092,-4.083610554260376,5.208333333333333,5709,0.6682841777801514,0.0728991065291165,0.0703657048304355,-432.0028810930579,6.25
6,3.1740190982818604,-308.48240116895636,99.08551887333815,-21.412065039888933,-507.7985640235868,6.25,1.0054415873844258,0.1,0.09190487861633301,1.5086240768432617,0.05027616,0.10590473,-315.0666589004949,-0.05631840616234631,-4.070666285726323,6.25,5654,0.9001970291137695,0.07624259286099891,0.07476474066533985,-409.4100292005623,6.25
7,2.825591564178467,-310.2578600038831,104.40496681018644,82.5568208262899,-491.89874360639647,6.25,1.0545700939503597,0.1,0.10658955574035645,0.7975225448608398,0.049660727,0.10714442,-314.5857790108337,-0.05629396231385867,-4.094284847558082,6.25,5663,0.8138399124145508,0.0775359138857689,0.07614357428463725,-380.7090272014656,6.25
8,3.501486301422119,-318.1049659142938,87.48237267479439,-46.912452591990515,-484.6851724178037,7.291666666666667,1.0186386415822144,0.1,0.11072254180908203,0.42580270767211914,0.050336257,0.10283625,-314.93769770117973,-0.05669380122704867,-4.200120567381646,7.291666666666667,5659,0.8577139377593994,0.055540088987885455,0.05369533416792559,-410.9873513789523,6.25
9,2.545264959335327,-322.10632621339596,89.19919591907842,-59.0887362245568,-517.9736413860917,3.125,0.9947970517111039,0.1,0.06774783134460449,0.47862672805786133,0.052607074,0.10924895,-315.65456055240134,-0.056884376037590355,-4.252583558571659,3.125,5661,1.106689691543579,0.06064041264221409,0.05985207321748551,-436.64006611363413,6.25
