iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,5.749135971069336,-339.5172975777495,462.26425947249095,-108.16607213000559,-2707.7894938484483,0.0,2.055218788580893,0.1,0.06870341300964355,0.5793361663818359,0.056434855,0.0399856,-339.5172975777495,0.016084751327707675,-1.7079098211814785,0.0,19200,1.9011461734771729,0.9999449266333994,0.7472320589934606,-133.21504366303145,0.0
1,6.032074928283691,-137.90688802004118,35.319916007225174,-95.19545756027883,-395.60286086959945,0.0,2.708924317565113,0.1,0.013745546340942383,0.5786447525024414,0.051128183,0.037942857,-319.3562566219787,0.04806863430425404,-0.6998767602356614,0.0,19200,2.093660831451416,1.218130941484543,0.052678023703886565,-133.6702175354994,0.0
2,5.8677122592926025,-146.31199857508176,164.16670916256473,-88.02318117228135,-1730.2161232377423,0.0,2.609320320098113,0.1,0.015514612197875977,0.5505874156951904,0.050968777,0.027313536,-302.051830817289,0.05896731853536185,-0.741915108544258,0.0,19200,2.937213897705078,0.6249645997902101,0.6135852862324406,-70.68596640117578,0.0
3,5.7373597621917725,-112.27146036405647,15.579761023115479,-81.54416097630275,-161.7228444041581,0.0,2.273267980864361,0.1,0.01659989356994629,0.5435991287231445,0.05211779,0.042633735,-283.07379377196577,0.09581609147046004,-0.5717096394446579,0.0,19200,3.2470927238464355,0.07408005101966643,0.016169749834471867,-31.96577483927233,0.0
4,5.87518310546875,-106.22360357908595,24.22264173124299,-82.83839027672705,-316.4939688372596,0.0,2.671828845154036,0.1,0.024164915084838867,0.5737814903259277,0.051916506,0.029385906,-265.38877475267776,0.11380319843378002,-0.541490577702657,0.0,19200,3.3016908168792725,0.06896544732899172,0.06732206620586625,-33.78282314070743,0.0
5,5.889862775802612,-94.44877123302531,8.513114608814725,-72.1682518215134,-113.91211553099703,0.0,2.344779537928141,0.1,0.015318155288696289,0.5803039073944092,0.053391602,0.043967605,-248.2947744007125,0.14137118817792946,-0.48264168078153763,0.0,19200,3.1403307914733887,0.021121724869926615,0.011079705834493074,-36.44941914346725,0.0
6,5.951914310455322,-84.47959474572518,9.28224219823668,-65.96200617967811,-115.39696051591393,0.0,1.907549143213077,0.1,0.022757530212402344,0.6003880500793457,0.057498347,0.049031407,-231.91325643521375,0.15999878655954625,-0.4328060984210233,0.0,19200,3.458156108856201,0.028077724187078573,0.013935187887368044,-42.475671136878375,0.0
7,5.922783613204956,-73.15125136730823,7.604250969399487,-56.79874213687747,-93.3795382236521,0.0,2.2612557115763816,0.1,0.021088361740112305,0.510920524597168,0.05577638,0.045348767,-216.0370559284232,0.2057602343636177,-0.37619402610285985,0.0,19200,3.1114070415496826,0.04030117445374091,0.019810968346242526,-57.08171681267117,0.0
8,5.742130756378174,-58.074385179615966,8.692671210071321,-28.55186476517918,-82.63234570307299,0.0,2.1888975789111114,0.1,0.01845383644104004,0.5815832614898682,0.05494366,0.044920437,-200.24078885354248,0.23372688431848676,-0.30082707031938355,0.0,19200,3.0550739765167236,0.17881587853209574,0.06031622958223261,-79.24032090083264,0.0
9,5.800548315048218,-46.188182852056855,11.244732492304795,-28.116886172372023,-86.34996382993732,0.0,2.2193231973631162,0.1,0.022032976150512695,0.5243196487426758,0.052616455,0.0442411,-184.83552825339393,0.24896903111680416,-0.24144475284495673,0.0,19200,3.2532894611358643,0.3845135728548153,0.1793579245881504,-90.71921438605112,0.0
10,5.915729522705078,-34.982767993050466,9.837858995916047,-15.341959643360632,-66.67113808005412,0.0,2.152433570499455,0.1,0.014281988143920898,0.49979090690612793,0.049408965,0.043716446,-169.8502522273596,0.3025637459925428,-0.18542839185946988,0.0,19200,3.0770249366760254,0.6739765744861317,0.37025507864161655,-1364.4665809293533,0.0
11,5.919712543487549,-27.38702703054481,9.523743586773286,-9.852382498296699,-50.06022243361837,0.0,2.1607312134374657,0.1,0.01793980598449707,0.5597305297851562,0.052661512,0.042438496,-155.60392970767813,0.34068651063106414,-0.14751176174865077,0.0,19200,3.8221874237060547,0.5900178899379981,0.3520164550368719,-84.89118956892395,0.0
12,5.863389015197754,-22.20647882345553,8.594936730762543,-1.8293328683846004,-43.6594530406122,0.0,2.397797045102833,0.1,0.020218610763549805,0.5205843448638916,0.052414875,0.03987728,-142.26418461925587,0.36771348084717775,-0.1216180313557506,0.0,19200,3.23956036567688,0.266415611146475,0.1895136529220836,-78.90228310083296,0.0
