iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.474097728729248,-25.606609272828802,3.248146680513845,-4.725677261625,-28.1061021188297,0.0,2.9406128589695437,0.1,0.06404447555541992,0.30828189849853516,0.05067816,0.03821803,-25.606609272828802,-0.2566959453032367,-0.25586261196990334,0.0,9600,1.0430908203125,1.0099601528472673,0.1653039871088066,-18.545919412644785,0.0
1,1.2676787376403809,-18.84111850558313,8.34226805546163,-1.7410847894275288,-27.980214342183036,0.0,3.474497840296305,0.1,0.017153024673461914,0.24581027030944824,0.05598004,0.029432543,-24.930060196104236,-0.18907896646289757,-0.18824563312956424,0.0,9600,0.8545641899108887,0.4539904881862659,0.06653626680178273,-18.541025200056826,0.0
2,1.2862205505371094,-12.197737428622395,8.870375308816579,5.832450704405289,-27.715592874123818,0.0,2.1544068597486183,0.1,0.013885974884033203,0.2660520076751709,0.056641247,0.04343759,-23.656827919356054,-0.12603428152953525,-0.12186761486286857,0.0,9600,0.9429128170013428,0.15037940729233876,0.09371080693845137,-19.41817471728672,0.0
3,1.2673816680908203,-7.700516268706096,4.810444113263082,2.572694243936094,-26.18710843295316,0.0,2.7838013305309497,0.1,0.012783527374267578,0.3261840343475342,0.053846933,0.037303656,-22.06119675429106,-0.0802920403259507,-0.07695870699261738,0.0,9600,1.1664013862609863,0.16067137783582813,0.11134491076331807,-18.934442036834948,0.0
4,1.2802529335021973,-6.268747843380839,3.4182251867708175,-0.795479596459342,-25.82360842145223,0.0,2.6161556793557006,0.1,0.011688470840454102,0.26022887229919434,0.049593773,0.023442293,-20.48195186320004,-0.06557996203072168,-0.06266329536405502,0.0,9600,0.9978158473968506,0.1795242227046989,0.12394547681281368,-19.224824775714975,0.0
5,1.290212631225586,-5.715457256434334,1.5898506625829096,3.150748314689034,-9.364643237974198,0.0,2.920372913744175,0.1,0.00652003288269043,0.20756173133850098,0.04847496,0.0370017,-19.00530240252347,-0.05963977063981419,-0.05713977063981419,0.0,9600,1.0279803276062012,0.10892210030970435,0.08517583145944142,-17.168764921669016,0.0
6,1.4332621097564697,-4.926799010684296,2.1572625306127855,7.06774228857161,-14.601540258629651,0.0,3.0592637946664425,0.1,0.011684894561767578,0.27217698097229004,0.053376358,0.036837477,-17.597452063339553,-0.05341611751892519,-0.04924945085225852,0.0,9600,1.658254623413086,0.1872488660426809,0.1608838013843685,-6.268097748806532,0.0
7,1.2688422203063965,-4.025099164699,2.3866053933564655,6.572669546207904,-6.392353711684647,0.0,3.3643559838584958,0.1,0.012763023376464844,0.3020641803741455,0.04939061,0.030919963,-16.2402167734755,-0.05024281414713355,-0.04024281414713355,0.0,9600,1.3080127239227295,0.30274689583690184,0.2833960102192592,-4.032035506117778,0.0
8,1.3151249885559082,-3.017963815997888,3.397967678293153,11.824521264620648,-6.200474334326882,0.0,3.4079796589599987,0.1,0.01285696029663086,0.31913232803344727,0.0495939,0.033241283,-14.917991477727739,-0.04932991029853808,-0.030163243631871405,0.0,9600,1.5172619819641113,0.7600200943678906,0.6717186079073193,-4.264706835395379,0.0
9,1.2684450149536133,-1.514703797425911,4.8571739412163195,20.06260057771122,-8.191520187458005,0.0,3.874447126655262,0.1,0.011744260787963867,0.3369615077972412,0.06270682,0.036069646,-13.577662709697556,-0.049303183110024816,-0.015136516443358157,0.0,9600,1.3836920261383057,0.9844772583302961,0.9392741774589621,9.469400623602814,0.0
10,1.299095869064331,1.7999408771020124,6.850389449773941,32.567842172817905,-5.663696589572332,0.0,3.2668510901010688,0.1,0.017145156860351562,0.28645801544189453,0.057048652,0.032857686,-12.0399023510176,-0.04365426623185614,0.018012400434810522,0.0,9600,1.755645513534546,1.1075539417866291,0.9355892652077481,-3.13450780260414,0.0
