iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.8391196727752686,-25.62589412064609,3.2455252612959486,-4.766636854386424,-28.14179447004226,0.0,3.0559289924084476,0.1,0.07249116897583008,0.3548104763031006,0.050607692,0.035784453,-25.62589412064609,-0.2568883740780166,-0.2560550407446833,0.0,9600,0.9796445369720459,0.9897342007216686,0.16046355540953364,-18.58207456860453,0.0
1,1.5544233322143555,-17.10366162290023,9.099792266266391,2.0643261724649338,-27.96498805213924,0.0,3.5430681253670135,0.1,0.011839151382446289,0.359921932220459,0.057598375,0.029292872,-24.773670870871506,-0.1726158945047458,-0.17094922783807917,0.0,9600,1.2508339881896973,0.5839054564396345,0.08150743098059558,-18.886108154171467,0.0
2,1.5929450988769531,-11.522526521703732,8.108774994370933,-0.14474222093396671,-27.652647845990654,0.0,2.2603575205279482,0.1,0.013253927230834961,0.35730528831481934,0.054047227,0.038659103,-23.44855643595473,-0.11724114668746131,-0.11515781335412796,0.0,9600,0.7592284679412842,0.1125720440128002,0.07068843866784703,-19.42276694242779,0.0
3,1.5986545085906982,-7.104796132164213,4.746631153802157,10.213544685014284,-26.23190619919801,0.0,2.4681604963460253,0.1,0.011522054672241211,0.35550379753112793,0.051310226,0.03683952,-21.814180405575677,-0.0772492850330268,-0.07099928503302681,0.0,9600,0.8691616058349609,0.18634457650319367,0.1462148198001318,-18.979227727178845,0.0
4,1.5915946960449219,-5.844051468559786,3.239910024590522,3.043177977373758,-24.884269884763345,0.0,2.4655960728314543,0.1,0.012123346328735352,0.3344855308532715,0.053949293,0.027207866,-20.217167511874088,-0.06258069491278287,-0.05841402824611621,0.0,9600,1.2447178363800049,0.18200704128200199,0.1442137577014997,-18.638721266763802,0.0
5,1.7046456336975098,-5.434028891120078,1.0722448610275725,-0.6409768420070837,-7.77534757799345,0.0,2.578293451231471,0.1,0.017287015914916992,0.3634364604949951,0.05059941,0.044561066,-18.73885364979869,-0.05640983677208006,-0.05432650343874671,0.0,9600,1.4963514804840088,0.05384164330103639,0.040725656283050866,-14.588428698016063,0.0
6,1.8500771522521973,-4.799596139577005,1.6003056604602994,3.5446597477067137,-9.920455797968442,0.0,2.647421574212226,0.1,0.018865108489990234,0.40886402130126953,0.05454981,0.035285372,-17.34492789877652,-0.05131229854691935,-0.047978965213586015,0.0,9600,1.6763625144958496,0.09321867721876245,0.07646667476849787,-7.109240426164369,0.0
7,1.6690852642059326,-3.931109709255638,2.4595076283892277,11.277494260330336,-5.555103742472955,0.0,2.844320138464479,0.1,0.013127565383911133,0.3788418769836426,0.048515033,0.039991952,-16.00354607982443,-0.04721887874606281,-0.03930221207939614,0.0,9600,1.8429615497589111,0.32242280951608515,0.28712294001786187,-5.844287772661773,0.0
8,1.705228567123413,-2.6001478201025123,3.881317787820959,15.940669365435266,-7.744748323704187,0.0,2.905646737603463,0.1,0.014075756072998047,0.3711528778076172,0.05384826,0.035844292,-14.663206253852241,-0.04515629023897642,-0.025989623572309755,0.0,9600,1.8624682426452637,0.6751723439146502,0.6345944651392876,-2.971488477619456,0.0
9,1.6663422584533691,1.0173915132336813,6.136495819618782,19.662079060873175,-5.2750066313741515,0.0,3.013325046463289,0.1,0.0153961181640625,0.39501166343688965,0.050243277,0.033349063,-13.095146477143649,-0.0423200491382793,0.010179950861720686,0.0,9600,1.8821611404418945,1.1799616748398887,1.00707352166717,-2.3678797508602307,0.0
10,1.691843032836914,4.545095168670067,7.690541274744876,32.142303231156895,-4.729185080463517,0.0,3.53199555398511,0.1,0.01588749885559082,0.3824598789215088,0.057538472,0.028632797,-11.331122312562279,-0.03954244433794222,0.04545755566205776,0.0,9600,1.9396624565124512,1.0333648768311925,0.8119297501427845,1.1945128451943916,0.0
11,1.712064266204834,12.157871964368319,10.984029704215624,56.259432623051055,-4.497878158323133,0.0,2.894097141343171,0.1,0.017859220504760742,0.35372471809387207,0.051837564,0.03420003,-8.98222288486922,-0.036337998479037605,0.12116200152096239,0.0,9600,1.9768483638763428,0.7086739061629841,0.54964798131914,-2.5307337942573,0.0
12,1.8434269428253174,21.026121324379286,13.508667171841147,57.2209162546653,-3.972070753147348,0.0,2.7176638384368403,0.1,0.014806747436523438,0.374678373336792,0.055106297,0.03957459,-5.981388463944369,-0.03182670981639903,0.20983995685026766,0.0,9600,1.692760705947876,0.5074349254861791,0.37311010896152524,1.629811049444434,0.0
13,1.8005430698394775,33.29326725130751,16.2115921411637,73.48371149985707,5.1963195744988155,1.0416666666666667,3.080546851440222,0.1,0.013164281845092773,0.3725862503051758,0.058854546,0.034169577,-2.053922892419181,-0.028739466947309264,0.3329271997193574,1.0416666666666667,9600,1.4423043727874756,0.34512794326225865,0.2658792950431528,1.9551128321300295,0.0
14,1.7348358631134033,47.12183780480989,22.873021140238617,109.74224127620967,9.000204295046743,2.0833333333333335,3.153749293131701,0.1,0.013644933700561523,0.3568572998046875,0.05749968,0.03299589,2.8636531773037266,-0.025458172711917155,0.47037516062141616,2.0833333333333335,9600,2.1953110694885254,0.286741402740994,0.2133348224037329,2.513018575814381,0.0
15,1.7146906852722168,55.653398212345586,20.25172112521563,113.83856520177714,17.06653983086729,3.125,2.5670668105272636,0.1,0.01648688316345215,0.35889482498168945,0.058695804,0.040383827,8.142627680807912,-0.023476607395637884,0.5561067259376954,3.125,9600,1.959857702255249,0.1774513036375519,0.16793060897256767,34.70571315381816,0.0
16,1.7433106899261475,76.14489095902594,19.46926045141273,126.02769984492544,33.687787067538274,13.541666666666666,2.6631069240154726,0.1,0.015426397323608398,0.389204740524292,0.058376934,0.039292775,14.942854008629716,-0.02064447324267875,0.7614388600906546,13.541666666666666,9600,2.0262675285339355,0.18029388749595165,0.10275044703319942,347.0407404920883,0.0
17,1.7360332012176514,97.09303045459252,22.84620850658289,166.38984283688086,37.93447942391966,32.291666666666664,2.7318524341385864,0.1,0.017199277877807617,0.3513603210449219,0.05878598,0.039041247,23.157871653225996,-0.018666295257808982,0.970083704742191,32.291666666666664,9600,2.1380231380462646,0.12289721450599372,0.08521867197314602,339.0472405915169,0.0
18,1.7151463031768799,123.85456760570837,28.969722549610324,206.5441534213836,49.82492696309989,52.083333333333336,2.47118354244535,0.1,0.014379501342773438,0.3770718574523926,0.057231937,0.04072579,33.22754124847423,-0.01688474010335313,1.2376985932299802,52.083333333333336,9600,1.8759057521820068,0.12256139611153274,0.07199271085061017,447.2108899445199,100.0
19,1.8208675384521484,149.7684674801183,26.439726175455785,230.63329939158785,94.29174579393865,72.91666666666667,2.5748534355784254,0.1,0.01571488380432129,0.3717937469482422,0.056627236,0.038305003,44.88163387163864,-0.01524601520926124,1.4964206514574052,72.91666666666667,9600,1.7801337242126465,0.0657411815880237,0.046038360169221366,495.22162949290487,100.0
20,1.8062739372253418,173.866965208989,28.907079738502176,230.5743354095883,86.45846532705185,82.29166666666667,2.7441676432395936,0.1,0.013680696487426758,0.36341094970703125,0.056608427,0.035833117,57.78016700537368,-0.014266101927558573,1.7365672314057747,82.29166666666667,9600,1.9214494228363037,0.05397151769731035,0.03602110950662503,579.2785316779908,100.0
21,1.6951968669891357,201.67641151757263,30.9478438061845,266.80962068067834,130.5587257688515,94.79166666666667,2.570958559522577,0.1,0.010741949081420898,0.35801243782043457,0.055681176,0.03781226,72.16979145659357,-0.013250131982223587,2.0154998680177765,94.79166666666667,9600,1.7016093730926514,0.05388768098799404,0.0368143924220888,539.2476638424205,100.0
22,1.628230333328247,241.3677420639045,35.52821325728224,350.97732658017844,154.57832841863566,98.95833333333333,2.494625401081345,0.1,0.010602474212646484,0.32883238792419434,0.05528417,0.037371352,89.08958651732468,-0.012174024326599307,2.412409309006734,98.95833333333333,9600,1.9488236904144287,0.05964510420533427,0.027971834849236,623.3026679370175,100.0
23,1.627687931060791,273.24026734292187,34.85482102663742,395.0714038794797,206.75012575132803,100.0,2.2954682344338977,0.1,0.012342214584350586,0.35296010971069336,0.047757722,0.03733447,107.5046545998844,-0.011368757149141104,2.7290479095175257,100.0,9600,1.7128584384918213,0.03609374455171835,0.02268987674146124,663.3505322667195,100.0
24,1.622077226638794,293.73521984012797,35.029794759202225,375.06815539686727,202.73044639092979,100.0,2.439899284668876,0.1,0.013038396835327148,0.3629281520843506,0.034981363,0.027001899,126.12771112390877,-0.01100067828219277,2.9356659883844736,100.0,9600,1.594426155090332,0.022169074718807618,0.019169908239866768,651.3649697219154,100.0
25,1.6460564136505127,314.6318481175274,28.074982377515212,411.14209019394195,234.84294981452342,100.0,2.4576581857463293,0.1,0.011533021926879883,0.36182713508605957,0.032024235,0.025374597,144.97812482327063,-0.010368568177500018,3.1433814318224997,100.0,9600,2.1689517498016357,0.014780800147279545,0.012312256527037432,655.4088725230644,100.0
26,1.8014981746673584,336.12006413292073,30.874974580777952,415.12392872005665,270.8652194705188,100.0,2.8179903797307997,0.1,0.010660648345947266,0.37970614433288574,0.023017054,0.017493546,164.09231875423566,-0.010071323302438944,3.3570120100308944,100.0,9600,2.042633056640625,0.01746781613523177,0.012313485742012667,667.4516802839395,100.0
27,1.6122894287109375,343.17937281568965,28.19078566458577,423.1275928428733,266.8464361388707,100.0,2.643460770472776,0.1,0.027954578399658203,0.34809207916259766,0.02323685,0.018306859,182.00102416038106,-0.009895520217763389,3.4267711464489037,100.0,9600,1.7775473594665527,0.011423968227591676,0.01135349499898285,647.4152771608635,100.0
28,1.6688408851623535,351.03206491732016,30.071969215658484,419.1348313956433,262.8997870413603,100.0,2.43125286216921,0.1,0.02570056915283203,0.3671102523803711,0.023819365,0.019881632,198.90412823607497,-0.009699906161990152,3.5078000938380094,100.0,9600,1.9089622497558594,0.011288965900412564,0.011174489805160403,643.4041776696595,100.0
29,1.615839958190918,358.4221288471745,33.351888827686636,435.1634995247046,290.85639949290885,100.0,2.509159533002825,0.1,0.01725912094116211,0.35637497901916504,0.022146368,0.018766223,214.8559282971849,-0.00954780758584724,3.581702192414152,100.0,9600,2.013364791870117,0.01384077002400043,0.012822775579187195,659.4339902861811,100.0
30,1.685152292251587,369.19037075585857,32.428114709888035,439.10617420538875,299.00599521153146,100.0,2.4717125828027484,0.1,0.010631561279296875,0.35645055770874023,0.019922677,0.017148294,230.28937254305228,-0.009364267275789866,3.690219066057544,100.0,9600,1.8245949745178223,0.010852939862599512,0.010663438897457479,679.4715914387813,100.0
31,1.6935374736785889,378.2903788742885,28.70729510048652,471.2083665976958,311.0219057776974,100.0,2.739617387522384,0.1,0.01316070556640625,0.360828161239624,0.019958077,0.015279595,245.08947317617591,-0.00920055576198016,3.7791327775713532,100.0,9600,2.1718697547912598,0.008702828522809182,0.008561217433313747,691.4547156210995,100.0
32,1.7358300685882568,394.2288754084402,30.075186143049773,459.22793241159735,327.0389889721241,100.0,2.3922444434691674,0.1,0.013348579406738281,0.34955835342407227,0.021872642,0.01799343,260.00341339940235,-0.00898293143648257,3.938517068563517,100.0,9600,2.053313970565796,0.010210345828164423,0.008595557086444949,663.4493481477488,100.0
33,1.874805212020874,394.39934216035164,30.841581800012534,463.20013289286777,322.9509191684487,100.0,3.0974532272891913,0.1,0.012682676315307617,0.36186909675598145,0.017429143,0.013312062,273.4430062754973,-0.008944735322624754,3.9402219313440425,100.0,9600,1.9666337966918945,0.008680992680301671,0.00873520591452782,679.4618787836012,100.0
34,1.6567513942718506,394.69397941674333,32.74218685011103,471.2026777299832,310.9940920079359,100.0,2.525901094582392,0.1,0.010808706283569336,0.38898563385009766,0.01721107,0.014272351,285.5681035896219,-0.00891367599660914,3.9448363240033912,100.0,9600,1.8857746124267578,0.009605930465393505,0.009507852695700262,683.4736153066498,100.0
35,1.6435155868530273,408.4636599378742,27.468971007109978,459.1999811880992,339.01060102296634,100.0,2.975010447839335,0.1,0.010833263397216797,0.39791035652160645,0.02166591,0.015029961,297.8576592244471,-0.00871920272627414,4.079614130607059,100.0,9600,2.1219544410705566,0.008584114650488762,0.007624729486950943,679.4592027795744,100.0
36,1.6488285064697266,400.7445768710692,27.913612517559812,463.18441914355117,339.05726633845444,100.0,2.592934676559365,0.1,0.0180971622467041,0.3409147262573242,0.02352438,0.018281218,308.14635098910935,-0.008820462196374322,4.004929537803625,100.0,9600,1.6998164653778076,0.008492342926867924,0.008076428623276101,667.4467339586088,100.0
37,1.6391127109527588,411.38526354427944,27.938133384574577,483.2283211012047,331.0660891276938,100.0,2.65677754584277,0.1,0.013346672058105469,0.36623215675354004,0.020623226,0.016344987,318.4702422446264,-0.008666614304681094,4.1113333856953185,100.0,9600,1.990452527999878,0.007342245950593291,0.0069759493009315015,699.473590551277,100.0
38,1.6601297855377197,421.15053903049755,31.751022390258616,483.22476100396705,343.0315776301746,100.0,2.4964172629294183,0.1,0.014455080032348633,0.37412238121032715,0.023232,0.020119907,328.73827192321346,-0.008515445283819534,4.208151221382847,100.0,9600,1.9677965641021729,0.009548571163577662,0.008339757011760832,715.5276181672559,100.0
39,1.7920477390289307,418.94273925478984,29.921458000709077,491.24653101787663,351.00512416624514,100.0,2.624759880025749,0.1,0.018313884735107422,0.3661642074584961,0.0147921685,0.010244007,337.7587186563711,-0.00850868992364546,4.186491310076355,100.0,9600,1.8637332916259766,0.007177764913898669,0.007225838694254354,683.4736427850479,100.0
40,1.8109030723571777,425.8235955457071,32.270033943904764,499.25289924827746,347.0254928879456,100.0,2.8170136530679795,0.1,0.014102935791015625,0.35324835777282715,0.018363208,0.013247843,346.5652063453047,-0.008452223802649456,4.254464442864017,100.0,9600,1.7513651847839355,0.007957844207749462,0.007925703241910704,687.4592911940418,100.0
41,1.6338818073272705,427.1191357403293,29.263104322444818,503.2312240777784,359.0843513406343,100.0,2.8353385166901623,0.1,0.012072563171386719,0.3627939224243164,0.010577564,0.0076836953,354.6205992848072,-0.008414630422357038,4.266585369577642,100.0,9600,1.9197168350219727,0.007544927078390851,0.007384183247700813,667.4464124505156,100.0
42,1.6439549922943115,426.4087591785117,27.549197872717397,487.2182520326967,351.0623704857069,100.0,2.619337327493698,0.1,0.01169896125793457,0.32323646545410156,0.021205498,0.015727388,361.7994152741777,-0.008433837694103344,4.260316162305896,100.0,9600,1.8040030002593994,0.00678241924884422,0.006662470609921608,695.4724032881608,100.0
43,1.640336275100708,425.03043152990307,29.719205315817774,487.2375752049526,339.02988568269103,100.0,2.672938060328061,0.1,0.010473251342773438,0.37452030181884766,0.02037822,0.014039707,368.1225168997502,-0.008468430738347658,4.245698235928319,100.0,9600,2.0001132488250732,0.0073666699941599195,0.007291032958332412,655.4272097977715,100.0
44,1.6694247722625732,431.2451842371417,28.438457728001634,515.281922124653,355.08901632042824,100.0,2.6318228728684554,0.1,0.011466026306152344,0.33199286460876465,0.016620465,0.0131278755,374.43478363348936,-0.00840411676585958,4.307429216567473,100.0,9600,1.7475013732910156,0.007516220817065002,0.0074135349414025595,655.4427825394318,100.0
45,1.6777269840240479,434.38152710717986,32.08169960934099,515.2642582263502,335.0573794779463,100.0,2.8827343818193816,0.1,0.013873100280761719,0.3367292881011963,0.023228765,0.015917158,380.42945798085844,-0.008286505881703857,4.340880160784963,100.0,9600,1.7477004528045654,0.007854993898819627,0.007541450055516974,671.4339554530047,100.0
46,1.7533128261566162,435.92175755775116,29.84949341373824,511.27258978817713,363.0941218681051,100.0,2.773413233207159,0.1,0.012716293334960938,0.38097095489501953,0.017649071,0.011864839,385.97868793854775,-0.008303896170310859,4.355446103829689,100.0,9600,1.7332708835601807,0.00756131523264395,0.0072748652765953084,647.4214029274393,100.0
47,1.7688279151916504,439.5934460675644,28.67153873479764,527.2787507281032,359.07930014381503,100.0,2.568633004925579,0.1,0.012456178665161133,0.34183168411254883,0.013948577,0.011654222,391.3401637514494,-0.00825506432612484,4.391328269007208,100.0,9600,2.052030324935913,0.007229154916792396,0.0073461333415573895,631.4131834002526,100.0
48,1.6285161972045898,444.5175156677378,26.936562413434594,515.2663147670617,383.090283831874,100.0,2.9413015291208686,0.1,0.01171731948852539,0.3885383605957031,0.02149469,0.014967778,396.65789894307824,-0.008179968492082175,4.441403364841251,100.0,9600,1.7538442611694336,0.006256076011236257,0.005783555988932931,683.4716709491936,100.0
49,1.6274433135986328,439.75914430242966,28.769954021591452,507.2592586533129,379.10831652500457,100.0,3.2263130021553628,0.1,0.016119956970214844,0.35424017906188965,0.020240527,0.012015404,400.96802347901337,-0.008261989784380048,4.393821343548953,100.0,9600,1.7842626571655273,0.006497485445670102,0.006006689810167674,643.4346484168062,100.0
