iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,5.887102842330933,-1085.104711819198,1511.0070300201744,949.6305695007692,-6192.021837514016,0.0,2.267874675101978,0.1,0.07061648368835449,0.4745328426361084,0.05217645,0.043304775,-1085.104711819198,0.2060314079384499,-5.436319796295149,0.0,19200,1.865964651107788,0.9999864915740194,0.721690135891568,-3825.0141032123547,0.0
1,5.88737154006958,-829.0926404835244,1392.0328394993035,1031.6570033259893,-7573.828122276093,0.0,2.5593261255466087,0.1,0.019101619720458984,0.5223598480224609,0.05436814,0.03850769,-1059.5035046856306,0.21621757866437016,-4.156157280092853,0.0,19200,2.2906928062438965,0.8170124441572946,0.7267872008904424,-3606.207209817846,0.0
2,5.70143461227417,-974.6114129034316,1271.5819888516328,957.3175762794974,-4482.6072188872895,0.0,2.6617080385761023,0.1,0.0305788516998291,0.8246688842773438,0.05185236,0.038537405,-1051.0142955074107,0.274586517113921,-4.883750234577258,0.0,19200,3.875034809112549,0.6504669304282129,0.6088080749021788,-3314.4852578893756,0.0
3,5.637923240661621,-677.1194467040167,1077.0196745210783,1041.4332288503865,-4100.369570916869,0.0,2.562860725531703,0.1,0.021111726760864258,0.7653405666351318,0.048341636,0.035859626,-1013.6248106270713,0.2637540127578155,-3.3959956210308824,0.0,19200,3.6800551414489746,0.7663073634530887,0.6613510208248407,-2667.5000543313645,0.0
4,5.818453311920166,-483.262090547832,737.8921437472337,1022.6665506890181,-2860.629304958534,0.0,2.4158733583164427,0.1,0.03375601768493652,0.6612977981567383,0.050320603,0.039398067,-960.5885386191474,0.17897418004034163,-2.425277866929179,0.0,19200,4.210176944732666,0.8855546909574046,0.7190652723631364,-1006.3081038640246,0.0
5,5.831445932388306,-405.22159945132586,707.4523072614181,1017.4918247720752,-2586.2326041659226,0.0,2.5286760052036024,0.1,0.017696619033813477,0.7536063194274902,0.047745805,0.035773896,-905.0518447023652,0.28075226956808785,-2.0368783416034333,0.0,19200,3.9069936275482178,0.6924317932535311,0.6657675204475304,-37.42365178569018,0.0
6,5.8789684772491455,-320.28427443570035,582.6158278826628,917.4212241635062,-2084.4897845326896,0.0,2.328214555263368,0.1,0.10495376586914062,1.323216438293457,0.051502574,0.041165058,-846.5750876756988,0.2502281371479282,-1.6117754781932192,0.0,19200,3.328450918197632,0.6610501356194504,0.6146300240184629,-18.04959823384208,0.0
7,5.8239171504974365,-186.77663211672166,325.1936018361806,900.2612599033301,-1634.5221815584027,0.0,2.4276078741290483,0.1,0.0330662727355957,1.1078581809997559,0.05133409,0.04038201,-780.5952421198011,0.11511310159244113,-0.9446499433751727,0.0,19200,4.0337443351745605,0.9123668741368869,0.6062582240476776,-8.448640614633558,0.0
8,5.807466268539429,-141.7062264631465,318.3780955561799,958.6529933622595,-1061.4450181930742,0.0,2.394267913645479,0.1,0.024947166442871094,0.8914799690246582,0.051729914,0.040513374,-716.7063405541356,0.15362788077262512,-0.719017873350989,0.0,19200,3.0402631759643555,0.6517892189144323,0.5419403401348125,-37.25664764312901,0.0
9,5.737286329269409,-59.441780146815724,307.32072936485,960.5151685577738,-923.5830904491014,0.0,2.464103079103157,0.1,0.02002096176147461,0.7518520355224609,0.053682644,0.03994376,-650.9798845134037,0.33155003886851514,-0.307625889881919,0.0,19200,3.1139941215515137,0.46519553639933203,0.3163159498127003,-96.8381417536049,0.0
