iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,2.000340461730957,-28.202665702602076,4.776114483432076,-18.446312610080255,-39.10867981692088,0.0,0.7377392255070642,0.1,0.15128636360168457,0.7479841709136963,0.056847624,0.13917409,-28.202665702602076,-0.20078760626709358,-0.5631204496803356,0.0,4800,0.35334300994873047,0.9992355415771768,0.1997617242156874,9.336465615290463,0.0
1,2.044072151184082,-27.63007009063386,4.122071232188587,-15.576692362244765,-36.6616941233853,0.0,1.1890948317084231,0.1,0.028610944747924805,0.8606138229370117,0.051718224,0.08331059,-28.145406141405257,-0.19038097673557738,-0.5519694263512963,0.0,4800,0.4269895553588867,0.19835492725105563,0.0372788565316552,9.975113971295679,0.0
2,1.916449785232544,-26.835916247917833,4.212512095313897,-13.473900732793597,-37.861760700208,0.0,1.2054278171603392,0.1,0.015908002853393555,0.39530158042907715,0.051240675,0.081235975,-28.014457152056515,-0.17454519325235882,-0.5356970997509406,0.0,4800,0.41370439529418945,0.04096281585367358,0.030256812615898063,10.698619746584644,0.0
3,1.9216253757476807,-25.818712631118956,3.8975724564580734,-16.932037982920335,-36.6835854824219,0.0,1.2052187437595845,0.1,0.019064903259277344,0.5451440811157227,0.051082738,0.08329199,-27.79488269996276,-0.15599885531954769,-0.5155463956837347,0.0,4800,0.6788873672485352,0.03155539054679471,0.024702938373151104,13.815027560699427,0.0
4,1.9704313278198242,-23.76791931661582,4.401647920773924,-12.472492881570416,-34.144583283281165,0.0,1.1969342151691658,0.1,0.04467892646789551,0.5775337219238281,0.052183006,0.08724326,-27.392186361628067,-0.11369064073583367,-0.4746642295568156,0.0,4800,0.49855613708496094,0.0430502303175467,0.03491865056863636,17.390730414624745,0.0
5,1.9589118957519531,-22.33030574508976,4.179067158564801,-13.408527124885158,-33.82766098228552,0.0,1.1509563441857475,0.1,0.03557443618774414,0.7135500907897949,0.053573698,0.085374705,-26.885998299974236,-0.08703549874079046,-0.445860498092735,0.0,4800,0.5615613460540771,0.04015532475433459,0.034746055126065885,19.673462891002092,0.0
6,1.9330155849456787,-19.927818986501602,4.486695263958708,-7.145163062836748,-32.049817916991614,0.0,1.1207858964519768,0.1,0.01575946807861328,0.8060877323150635,0.054300595,0.09057034,-26.190180368626976,-0.03923122375336849,-0.3981253136393983,0.0,4800,0.4947645664215088,0.06613696592339097,0.0520264222439347,20.973159651660634,0.0
7,2.0699305534362793,-16.85368662812819,4.839545439032945,-6.629065730076889,-29.433499174348658,0.0,1.086263233641138,0.1,0.043778181076049805,0.3463399410247803,0.052551836,0.08951858,-25.256530994577098,0.020690673354885735,-0.33687830831495474,0.0,4800,0.38195323944091797,0.1150205539026104,0.0765395419657585,21.481578254087125,0.0
8,2.061448574066162,-13.97586583212049,4.411427682007377,-3.762169688134536,-25.874079323080597,0.0,1.0428170513413442,0.1,0.05231618881225586,0.3186492919921875,0.05230325,0.0983802,-24.128464478331438,0.07675897300539948,-0.2794211137751556,0.0,4800,0.7144429683685303,0.12942161271711441,0.09242619447702864,21.9339280793274,0.0
9,2.1108105182647705,-10.654846482273586,3.8123937796514857,-1.978512091534678,-19.54408155707459,0.0,1.0394555205221059,0.1,0.055657148361206055,0.5154993534088135,0.052543405,0.09840108,-22.781102678725652,0.13926560450566394,-0.21331921336488988,0.0,4800,0.7948174476623535,0.160785116242381,0.10970906421431822,22.714803594064566,100.0
10,1.9171662330627441,-7.99685114142672,3.6852999468488066,1.9421901556524452,-18.96144400735153,0.0,1.1202481158713373,0.1,0.02722024917602539,0.37484169006347656,0.05303978,0.09733205,-21.30267752499576,0.1908357405118188,-0.1601263416568751,0.0,4800,1.1332955360412598,0.25047768422753497,0.17466897782541643,22.857980722608026,100.0
11,1.8887865543365479,-5.330771962955294,4.099063370805306,3.390266845310949,-17.59271879275219,0.0,1.074397568756977,0.1,0.05813002586364746,0.4222984313964844,0.05292556,0.101353474,-19.705486968791714,0.240535723471858,-0.10687444971178521,0.0,4800,0.9484350681304932,0.4511128531058881,0.3152414812368912,32.59548359305204,100.0
12,1.8968780040740967,-2.0969404865010848,3.0686536987690274,6.17383334917709,-10.287497136790096,0.0,1.031137864844234,0.1,0.05690407752990723,0.45616626739501953,0.05174127,0.09939222,-17.94463232056265,0.3035743196121293,-0.04213260024609523,0.0,4800,0.9459202289581299,0.7909523784623077,0.5040349918264783,21.839487282408584,100.0
13,1.9057762622833252,-0.7722634030814151,4.312455679745206,9.369247235146931,-14.831644095988512,1.0416666666666667,1.033488840859866,0.1,0.021425485610961914,0.7287061214447021,0.05292041,0.0960814,-16.227395428814525,0.32813703639825037,-0.0156806317154476,1.0416666666666667,4800,1.2543878555297852,0.5597350711162685,0.4568260367080134,31.00548336731587,100.0
14,2.0003087520599365,1.9128361180108504,3.5786052709142786,8.983983032292448,-6.975649737572498,1.0416666666666667,1.1004287131611368,0.1,0.07406139373779297,0.3872861862182617,0.05281818,0.092320375,-14.413372274131987,0.37968894454040064,0.0381290361025282,1.0416666666666667,4800,1.1096253395080566,0.4023083222307887,0.3201356953169034,40.39439179270331,100.0
15,2.012988567352295,3.59127176682415,3.803309414913757,11.724735412353168,-6.369684680959738,6.25,1.0859327218983008,0.1,0.06769609451293945,0.8007943630218506,0.051179744,0.08606169,-12.612907870036373,0.41222716960313166,0.07182025809538621,6.25,4800,1.344848871231079,0.3188893133357002,0.26892005348495013,39.616927007090325,0.0
