iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.7400219440460205,-76.22853963078613,224.75581645011064,755.4937766591981,-254.15357292760416,12.5,6.561524216609201,0.1,0.06599307060241699,0.24189162254333496,0.064062364,0.019743567,-76.22853963078613,-1.130591204269461,-0.7633106529941144,12.5,9600,0.7351400852203369,0.9993327685487159,0.8489518574194863,381.43685990765266,93.75
1,1.6677803993225098,-52.070933075194034,240.66175534895692,751.445812388064,-254.94156645452162,18.75,5.990502610978286,0.1,0.009827375411987305,0.3165245056152344,0.057173703,0.0054676146,-73.81277897522692,-1.0438554881761917,-0.5216851727386146,18.75,9600,1.184980869293213,0.9061877187987473,0.6523532018301901,91.85917534992335,68.75
2,1.570002794265747,57.80161278730953,275.92661579338574,723.1541939463465,-256.4732841017061,42.708333333333336,5.03461860949885,0.1,0.017991065979003906,0.2723872661590576,0.05319704,0.013479415,-60.651339798973275,-0.8051861600509019,0.5766366060321101,42.708333333333336,9600,0.7803225517272949,0.7957869101666918,0.6659495491435703,93.33278708667432,62.5
3,1.6468031406402588,104.61546409441648,277.7460084662994,739.4935629092384,-246.11176005585847,55.208333333333336,6.455673878363649,0.1,0.028506040573120117,0.26610636711120605,0.21564664,0.012623823,-44.124659409634305,-0.6495326509433877,1.0447080922980145,55.208333333333336,9600,0.9365150928497314,0.6995184380038896,0.6691912651409342,71.84669283885518,56.25
4,1.523646593093872,234.126042640577,222.73128222215522,789.9845543191194,-110.38751164303433,92.70833333333333,5.446134674669156,0.1,0.014731645584106445,0.2653501033782959,0.06704879,0.016438244,-16.299589204613174,-0.3936206911837395,2.337258968065299,92.70833333333333,9600,1.1621692180633545,0.6633813606407342,0.5740791297153571,80.53586552331026,56.25
5,1.6184930801391602,253.87231878505403,228.9648794144773,799.0562879676402,-40.486336368749896,90.625,5.407342815423929,0.1,0.02181267738342285,0.2604968547821045,0.09741552,0.025708292,10.717601594353546,-0.3688671495345052,2.5382664177749112,90.625,9600,1.7582554817199707,0.5804615776616134,0.49614011155795346,119.12959332011509,43.75
6,1.5355937480926514,235.15762502033044,225.427049956325,797.9474833061447,-202.03986099349677,86.45833333333333,6.2387205517621,0.1,0.019008636474609375,0.2303447723388672,0.03868956,0.008754057,33.16160393695124,-0.3651962833593964,2.3498043456022426,86.45833333333333,9600,2.6330623626708984,0.5069066217895446,0.44717032443670157,156.13096254835523,37.5
7,1.8836982250213623,224.04143142571533,219.55102647266216,721.337695722502,-59.50481035067784,78.125,5.645458719315488,0.1,0.014089107513427734,0.2806050777435303,0.03491839,0.01314564,52.24958668582765,-0.34631209256751894,2.2385792278266075,78.125,9600,2.10949969291687,0.47468777301920806,0.4365519112645834,181.254997073055,43.75
8,1.7250072956085205,266.1607770809805,218.1436131098017,792.2330391632923,-63.84095236330557,83.33333333333333,5.042925058911759,0.1,0.028665542602539062,0.20792508125305176,0.062193763,0.0064122323,73.64070572534294,-0.3148612619496232,2.657546797781541,83.33333333333333,9600,1.6333062648773193,0.3942469422351005,0.349004637158373,179.83369350804966,43.75
9,1.7356162071228027,289.8870106952226,211.0951019589478,793.3698412826085,-13.593510743631832,91.66666666666667,6.037198074657874,0.1,0.013273954391479492,0.2978382110595703,0.05022566,0.010269578,95.26533622233092,-0.30459873865521886,2.8947733583865976,91.66666666666667,9600,1.664376974105835,0.347541093351936,0.3102012377931195,97.36626143747148,37.5
