iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.6053543090820312,-122.70397594581794,21.994332840885953,-50.28365115803456,-149.51660067450305,0.0,2.724212913334489,0.1,0.06092977523803711,0.3246879577636719,0.050417062,0.037859455,-122.70397594581794,-1.1898650593331952,-1.2266239448524148,0.0,9600,0.8692479133605957,1.0004884135515852,0.20453020993767365,-73.43328171331191,0.0
1,1.3128876686096191,-96.83204032158443,32.391975126954094,-12.108146947469162,-150.13209384720977,0.0,3.5560374042274683,0.1,0.023576021194458008,0.31793785095214844,0.069261886,0.032811288,-120.1167823833946,-1.029278199384476,-0.9679818132831578,0.0,9600,0.8586957454681396,0.26872845069288476,0.17567824781667232,-76.34044505443492,0.0
2,1.3244502544403076,-84.5811698695529,29.7360722518269,-12.440961332680418,-145.95920364160952,0.0,3.822642696115644,0.1,0.014591217041015625,0.3079390525817871,0.05259879,0.025351804,-116.56322113201043,-0.9010478232558677,-0.8456748737987186,0.0,9600,0.8933708667755127,0.1971928475679901,0.07215177689014873,-69.58644286240776,0.0
3,1.271146297454834,-76.81815535314836,27.26437652596758,-10.043015576399918,-133.2988289464995,0.0,3.612650647398877,0.1,0.009006500244140625,0.3122291564941406,0.056217078,0.025464622,-112.58871455412422,-0.8407126182218514,-0.7681282213458515,0.0,9600,0.8456313610076904,0.061602267040059104,0.05107655682570753,-67.81146659685331,0.0
4,1.2829961776733398,-74.95987873241145,29.435143765952194,20.501784152575446,-131.85567261227803,0.0,3.6702466138314005,0.1,0.009248495101928711,0.3037393093109131,0.05661027,0.028042883,-108.82583097195295,-0.8734331231518361,-0.7493800336477502,0.0,9600,0.9408853054046631,0.07509562249726899,0.0662285418126622,-64.57841522199912,0.0
5,1.3286149501800537,-62.308412725303434,30.294517908410644,24.482723411896913,-134.51436790701402,0.0,4.434588792747201,0.1,0.010579586029052734,0.3212168216705322,0.05641067,0.023508372,-104.174089147288,-0.7953507958472154,-0.6234166475212115,0.0,9600,1.4945342540740967,0.14425584662680035,0.12768941226414746,-63.12407810335115,0.0
6,1.2741491794586182,-55.29915877475323,37.33299679939453,35.6174749237557,-137.64546053271437,0.0,3.7664420065620954,0.1,0.011109113693237305,0.32692813873291016,0.04969778,0.028984338,-99.28659611003452,-0.8125347833214076,-0.5528001229791532,0.0,9600,1.5029923915863037,0.17628443806473185,0.15784836666011592,-60.894738919045565,0.0
7,1.4482555389404297,-47.49052085551049,36.39416663915802,72.86675079317702,-142.2119814813361,0.0,3.311859111932076,0.1,0.008992910385131836,0.29468727111816406,0.057347406,0.03005595,-94.10698858458211,-0.7724594695775703,-0.4751892272748457,0.0,9600,1.4038465023040771,0.24709663546375243,0.2386161471278397,-54.85288680192757,0.0
8,1.2610387802124023,-26.58307492735514,46.034887222536796,121.4894436916052,-126.09045385228242,0.0,3.078623640756344,0.1,0.008833646774291992,0.2841155529022217,0.048148688,0.033351645,-87.35459721885942,-0.7260464315878833,-0.2656635737869096,0.0,9600,1.7217950820922852,0.6344122292794816,0.5448474066605312,-57.53002000115787,0.0
9,1.2807490825653076,-7.930878154481271,51.595682164955626,164.46817681727222,-129.59136966845972,0.0,3.026360767868139,0.1,0.010301828384399414,0.28995275497436523,0.058408953,0.033497933,-79.41222531242161,-0.6923842609628554,-0.08068601983615158,0.0,9600,1.4742302894592285,0.7998224837294088,0.756475285767204,-48.27194158942746,0.0
10,1.292499303817749,56.03809771568586,53.59981244767203,185.2040533165228,-84.72971951123658,4.166666666666667,2.2569180268008324,0.1,0.010127067565917969,0.3249378204345703,0.057307128,0.04506732,-65.86719300961086,-0.5960244132220106,0.5593889512920874,4.166666666666667,9600,1.348862648010254,1.2471044788484051,0.727680719184411,11.864865913139232,0.0
11,1.301738977432251,118.89467668191095,68.7663802213309,229.17889712696783,-100.7180460038764,7.291666666666667,2.423637878115072,0.1,0.006975889205932617,0.2923581600189209,0.055594217,0.042095695,-47.39100604045868,-0.5856763120316845,1.1874834474223028,7.291666666666667,9600,1.6838161945343018,0.6374246277005012,0.3747337483868212,340.50754876539213,0.0
12,1.2948806285858154,167.55247219117766,45.008799134507086,269.72206290945974,31.956963919962952,7.291666666666667,2.738950826188607,0.1,0.010268211364746094,0.3037276268005371,0.053410564,0.034601655,-25.896658217295045,-0.5178619457817706,1.6736108901907352,7.291666666666667,9600,1.4057953357696533,0.3065907404066905,0.1521741899933672,347.6710953034841,0.0
13,1.317009687423706,215.68307577046008,56.33053403873208,319.39651647715954,-44.983855329923266,15.625,2.319800068538547,0.1,0.013726949691772461,0.3228771686553955,0.05812672,0.043049697,-1.7386848185195305,-0.5021168481449929,2.1531663423706755,15.625,9600,1.7510721683502197,0.19245200232370532,0.08310837224105395,364.1846485266422,0.0
14,1.4125149250030518,271.0138464136623,32.36456822145612,351.8184318891404,185.9627669707271,18.75,2.143073756581699,0.1,0.011913776397705078,0.2657480239868164,0.057231966,0.048215143,25.536568304698655,-0.4644645555326085,2.7073632693205276,18.75,9600,1.7535254955291748,0.06976010621667843,0.023151695508658456,665.0271050234999,100.0
15,1.3158621788024902,318.4755269848993,25.99964310368215,376.47459740980355,250.8802633502334,53.125,1.9328017822949848,0.1,0.011490821838378906,0.32013773918151855,0.058536936,0.049756348,54.83046417271872,-0.44163187190326747,3.181085628914392,53.125,9600,1.814483404159546,0.0338818359110047,0.010272187666482871,734.486841739354,100.0
16,1.404888391494751,341.53997936175716,14.979048924877558,376.4600092012626,280.75385124001747,68.75,2.3669376702509544,0.1,0.01434469223022461,0.358489990234375,0.057664186,0.040012434,83.50141569162257,-0.4251974656958984,3.412146443355604,68.75,9600,1.438880443572998,0.008402047822176729,0.003489686288623085,735.0767725147642,100.0
17,1.336195945739746,364.99332600979955,14.146352258296778,407.00912275329546,336.98673315652843,85.41666666666667,2.5021429886141977,0.1,0.010230064392089844,0.3199753761291504,0.057278372,0.038939778,111.65060672344026,-0.4091338431627693,3.6458035622192853,85.41666666666667,9600,1.6399798393249512,0.0060199881131422425,0.0027681812082489036,748.5380244154813,100.0
