iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.3925743103027344,-547.168625218463,10.707663118566401,-524.490684285009,-577.6458255367827,0.0,0.5605557912323498,0.1,0.03369283676147461,0.2785348892211914,0.05823951,0.18173951,-547.168625218463,-0.10479277486788503,-2.526370084577339,0.0,2546,0.3484499454498291,0.9999737766768744,0.9102684819328446,-654.9430318604523,0.0
1,1.3631913661956787,-546.5796305292968,10.705756423551502,-530.2801953942212,-577.3289980936179,0.0,0.6875389582862255,0.1,0.019952058792114258,0.40431928634643555,0.053119455,0.14382388,-547.1097257495464,-0.10508411233480741,-2.523354022785222,0.0,2520,0.37218618392944336,0.9104474318648662,0.21757875419880449,-643.8516782928879,0.0
2,1.7647731304168701,-546.0411298762843,10.287361231149461,-526.4005250710375,-568.9688627691419,0.0,0.7352386023045662,0.1,0.017971038818359375,0.32953929901123047,0.051061895,0.13845852,-547.0028661622202,-0.10432141508778642,-2.520758795971786,0.0,2513,0.18882489204406738,0.2180423649909298,0.014814507701112888,-610.7940088031421,0.0
3,2.000607490539551,-550.6977621344441,10.5976660189781,-531.4250920282202,-574.9788197193822,0.0,0.7452773795891434,0.1,0.04550313949584961,0.37000226974487305,0.048636638,0.11026789,-547.3723557594426,-0.1008731114603879,-2.5442271587330683,0.0,2780,0.3434476852416992,0.015128059066536529,0.01307707958834612,-657.3456668218245,0.0
4,1.7422163486480713,-548.9058373600897,10.750360345575395,-526.863016228294,-600.5946538094513,0.0,0.7110895714519497,0.1,0.01660943031311035,0.3695359230041504,0.047999684,0.10620315,-547.5257039195074,-0.10462378720707127,-2.5350717838224375,0.0,2661,0.28842711448669434,0.013564381421118666,0.011517668585955059,-570.4935883056027,0.0
5,1.2658576965332031,-545.1131572118437,10.625487878017776,-526.0799205224524,-583.0289391539873,0.0,0.6249298931031431,0.1,0.020638465881347656,0.16246676445007324,0.04962857,0.12638076,-547.284449248741,-0.1066057795124431,-2.516323119301662,0.0,2438,0.22029924392700195,0.0116356746486434,0.009157112773906111,-615.6006939838383,0.0
6,1.2242827415466309,-546.4551598237671,11.340403619882814,-529.1878181948452,-576.3469597808547,0.0,0.6565481561894976,0.1,0.03461742401123047,0.36428141593933105,0.052607514,0.13176069,-547.2015203062435,-0.10382823283705367,-2.522777220842005,0.0,2532,0.24706459045410156,0.009694019185140646,0.006619545502931026,-675.6494125356569,0.0
7,1.2242493629455566,-544.9043946370924,10.11548365646585,-528.0007816271186,-567.9908632297777,0.0,0.6842435505639807,0.1,0.0053958892822265625,0.27622318267822266,0.05233845,0.118703045,-546.9718077393285,-0.10350865182759868,-2.5150625291346507,0.0,2465,0.24489426612854004,0.006934081211667967,0.004264573078828475,-631.4265439262512,0.0
8,1.2654225826263428,-549.0455654703867,12.0783471973456,-531.5058633014635,-582.0332504001705,0.0,0.7368573993578617,0.1,0.02057504653930664,0.35461902618408203,0.051722962,0.12643516,-547.1791835124343,-0.10612383391290603,-2.535742551792791,0.0,2624,0.2375338077545166,0.004118913222435713,0.002310285182580595,-613.3853576005556,0.0
9,1.4281094074249268,-549.2500205004209,11.294158797785139,-531.4929589278078,-581.3211702540668,0.0,0.651682458504289,0.1,0.023900985717773438,0.3962531089782715,0.052358218,0.124032214,-547.386267211233,-0.10496891675574027,-2.536760922719475,0.0,2645,0.1906895637512207,0.0022518819883401145,0.001182867305257985,-602.8199068416097,0.0
10,1.6328840255737305,-549.1106418875524,10.187263313780162,-530.5167887609122,-576.0713378701638,0.0,0.696154880071146,0.1,0.016594886779785156,0.3188745975494385,0.048799317,0.086817786,-547.558704678865,-0.10517239423326402,-2.53607290397002,0.0,2631,0.25856804847717285,0.0011436172632857682,0.000568541282858472,-585.8589889860575,0.0
11,1.4080286026000977,-549.3070457190834,11.135519233142224,-526.833118544233,-576.092335891123,0.0,0.6732327948461861,0.1,0.014111995697021484,0.3547205924987793,0.051307376,0.12140805,-547.7335387828869,-0.10510530679128209,-2.5371306030441407,0.0,2661,0.2736527919769287,0.0005687126324341897,0.00028007224788322927,-566.5217210855901,0.0
12,1.4562668800354004,-548.5935431664464,11.397818907769238,-529.4173314571057,-575.2689457228106,0.0,0.6532965005239074,0.1,0.016153812408447266,0.25084710121154785,0.05298646,0.12589358,-547.8195392212428,-0.1036507515770904,-2.533620640402727,0.0,2639,0.24828529357910156,0.00030996903408310613,0.0001909458864267293,-612.542478504706,0.0
13,1.4148752689361572,-549.5107977716073,10.671891629679363,-530.4871796212991,-589.1916323408051,0.0,0.7368444329924209,0.1,0.024792194366455078,0.32079410552978516,0.04802216,0.12586224,-547.9886650762793,-0.1032768852260209,-2.5382089320530397,0.0,2676,0.2881050109863281,0.00016021953877873085,0.0001095250899142614,-580.5706610410925,0.0
14,1.3562836647033691,-552.1759560946667,11.425674279421237,-531.9130443961064,-579.8761013733799,0.0,0.7604032172197307,0.1,0.03780698776245117,0.36072802543640137,0.049651243,0.132725,-548.407394178118,-0.1029869264643458,-2.551377757020059,0.0,2798,0.31267213821411133,0.00012304012207150903,0.00010424330447376782,-582.9438365345911,0.0
15,1.3178989887237549,-551.4550044173002,11.07148271016648,-530.2941323589951,-577.5541640041578,0.0,0.7679617903517072,0.1,0.03614377975463867,0.2528820037841797,0.04999717,0.12769799,-548.7121552020362,-0.10261442083563864,-2.547888565788974,0.0,2776,0.28777289390563965,0.00010166635690711932,9.377630173540597e-05,-579.131700613517,0.0
16,1.404038429260254,-549.9548401735993,11.026552717569425,-532.018842443279,-584.7799563548471,0.0,0.7523839960953218,0.1,0.00520777702331543,0.1388530731201172,0.049716987,0.13657011,-548.8364236991926,-0.10364048138169646,-2.5403183167083347,0.0,2697,0.21937990188598633,0.00010148167850444912,9.283673528745209e-05,-581.6951804546056,0.0
17,1.4612350463867188,-550.3525320224945,11.39773420417722,-529.6090216781196,-577.7611049133619,0.0,0.7677638851817762,0.1,0.012657642364501953,0.13643360137939453,0.050499532,0.13361707,-548.9880345315228,-0.1000949902823729,-2.54228540795086,0.0,2789,0.20983529090881348,0.00010081687525471006,9.176357560808342e-05,-563.1537166797949,0.0
18,1.485032081604004,-549.5514339781872,10.436490781227445,-529.0515038584633,-580.0623978960466,0.0,0.806372802661608,0.1,0.012985467910766602,0.28168201446533203,0.05050496,0.123902,-549.0443744761892,-0.10044189263173485,-2.538326167885075,0.0,2784,0.36740589141845703,0.00011976814407158139,0.00010758017333223926,-577.6281907695303,0.0
19,1.490337610244751,-549.0006946304043,9.911135489004556,-530.1929387979015,-577.4892549539159,0.0,0.7554616314098439,0.1,0.030431509017944336,0.29479193687438965,0.049568836,0.12754512,-549.0400064916107,-0.09922466977501598,-2.5355413161137315,0.0,2796,0.5488953590393066,8.791537711507749e-05,8.465591426191788e-05,-580.0931417631052,0.0
20,1.4686896800994873,-549.7821108736133,11.898021697465925,-526.3318638012753,-600.534741527077,0.0,0.7676439078126603,0.1,0.031126976013183594,0.235062837600708,0.05062756,0.12866321,-549.1142169298109,-0.09892618279655326,-2.5393725438093373,0.0,2895,0.4899015426635742,0.00010130160014644984,9.475679239049896e-05,-581.8009810727174,0.0
21,1.5172584056854248,-549.6063686122206,12.326594964704253,-525.7919694939036,-584.6080488581146,0.0,0.7540479525583125,0.1,0.07308244705200195,0.38620638847351074,0.049951617,0.1353415,-549.1634320980519,-0.09882900647601395,-2.538583012232414,0.0,2906,0.44733476638793945,0.00011629231146414757,0.00011265704800605848,-565.2502734800936,0.0
22,1.6097593307495117,-550.2461251126575,10.720900835338362,-528.8409448188462,-575.509553609884,0.0,0.7991366458787295,0.1,0.03278923034667969,0.4202761650085449,0.050413083,0.12597778,-549.2717013995125,-0.09462445386705172,-2.541771050806732,0.0,3027,0.5585694313049316,0.00011691967017241809,0.0001096590637663226,-540.5974615885501,0.0
23,1.4950087070465088,-550.2791620112927,13.20823192696704,-522.7721239399862,-588.7176381052061,0.0,0.784817238041757,0.1,0.09914994239807129,0.26895713806152344,0.05150728,0.13424745,-549.3724474606905,-0.09465366625984277,-2.542010360859443,0.0,3043,0.5321774482727051,0.00010665076180758406,0.00010010631020148407,-531.8760102104254,0.0
24,1.4360241889953613,-549.7642467140122,12.926438795694514,-526.7163180591951,-604.5326754241482,0.0,0.8242403930565909,0.1,0.04958462715148926,0.26841068267822266,0.05131902,0.12538746,-549.4116273860227,-0.09562955595866766,-2.539324405049887,0.0,3057,0.46677660942077637,9.063271285941528e-05,8.910977661269847e-05,-522.5666040944067,0.0
